key,scope,property,description,en,ja
nav.dashboard,global,label,Main navigation tab,Dashboard,ダッシュボード
nav.providers,global,label,Main navigation tab,Providers,プロバイダー
nav.prompt_studio,global,label,Main navigation tab,Prompt Studio,プロンプトスタジオ
nav.lorebooks,global,label,Main navigation tab,Lorebooks,ロアブック
nav.prompt_assistant,global,label,Main navigation tab,Prompt Assistant,プロンプトアシスタント
common.language,global,label,Language selector,Language,言語
common.apply,global,button,Apply pending changes,Apply,適用
common.save,global,button,Save changes,Save,保存
common.cancel,global,button,Cancel an operation,Cancel,キャンセル
common.add,global,button,Add an item,Add,追加
common.delete,global,button,Delete an item,Delete,削除
common.import,global,button,Import data,Import,インポート
common.export,global,button,Export data,Export,エクスポート
common.refresh,global,button,Refresh displayed data,Refresh,更新
common.clear,global,button,Clear displayed data,Clear,クリア
common.enabled,global,label,Enabled state,Enabled,有効
common.name,global,label,Name field,Name,名前
common.title,global,label,Title field,Title,タイトル
common.prompt,global,label,Prompt field,Prompt,プロンプト
common.content,global,label,Content field,Content,内容
common.error,global,status,Generic error heading,Error,エラー
common.saved,global,status,Generic save completion,Saved.,保存しました。
common.no_selection,global,status,No item is selected,Nothing selected,選択されていません
common.unsaved_changes,global,status,Unsaved edit warning,You have unsaved changes.,未保存の変更があります。
common.not_configured,global,status,Configuration value is absent,Not configured,未設定
dashboard.server_status,dashboard,label,Server status heading,Server status,サーバー状態
dashboard.running,dashboard,status,Server is running,Running,稼働中
dashboard.stopped,dashboard,status,Server is stopped,Stopped,停止中
dashboard.multibrain_api,dashboard,label,API endpoint exposed by this application,MultiBrain API,MultiBrain API
dashboard.main_provider_api,dashboard,label,Main provider endpoint,Main provider API,メインプロバイダーAPI
dashboard.background_provider_api,dashboard,label,Background provider endpoint,Background provider API,バックグラウンドプロバイダーAPI
dashboard.web_ui_note,dashboard,help,Relationship between web UI and compatible API,The web control surface operates independently from the OpenAI-compatible API.,Webコントロール画面はOpenAI互換APIとは独立して動作します。
provider.main_provider,providers,label,Primary generation provider,Main provider,メインプロバイダー
provider.background_provider,providers,label,Background processing provider,Background provider,バックグラウンドプロバイダー
provider.base_url,providers,label,Provider API base URL,Base URL,ベースURL
provider.api_key,providers,label,Provider credential,API key,APIキー
provider.model,providers,label,Provider model name,Model,モデル
provider.test_connection,providers,button,Test provider connectivity,Test connection,接続テスト
provider.connection_ok,providers,status,Connection test succeeded,Connection successful.,接続に成功しました。
provider.connection_failed,providers,error,Connection test failed with inserted error,Connection failed: {error},接続に失敗しました: {error}
provider.save_settings,providers,button,Save provider settings,Save provider settings,プロバイダー設定を保存
provider.environment_managed,providers,status,Value is controlled by environment variable,Managed by environment variable,環境変数で管理されています
prompt_studio.help,prompt_studio,help,Prompt Studio overview,Configure up to 23 reasoning steps and final output prompts.,最大23個の推論ステップと最終出力プロンプトを設定します。
prompt_studio.saved_presets,prompt_studio,label,Saved preset selector,Saved presets,保存済みプリセット
prompt_studio.preset_name,prompt_studio,label,Preset name input,Preset name,プリセット名
prompt_studio.save_preset,prompt_studio,button,Save a named preset,Save preset,プリセットを保存
prompt_studio.new_preset,prompt_studio,button,Create a preset with empty lore assignments,New,新規
